epoch, x, y, z, vx, vy, vz
1468793535.8256428, -249888380.78184915, -1480016230.9044507, 35581049.483576514, 6.999345249930144, -1.3747440250498175, -0.5587024695026495
1468880051.2916155, -249282792.52182895, -1480134950.3215373, 35532707.859662846, 7.00019197356024, -1.3697228417925968, -0.5588230968582041
1468966566.7585883, -248677131.0971018, -1480253235.3177903, 35484355.806869924, 7.001036617069076, -1.3647014082789513, -0.5589435565555344
1469053082.224561, -248071396.68762216, -1480371085.871543, 35435993.33970195, 7.001879180646459, -1.3596797241383975, -0.5590638486139606
1469139597.690534, -247465589.4733281, -1480488501.961096, 35387620.472661436, 7.002719664480496, -1.3546577890001819, -0.5591839730526665
1469226113.1565073, -246859709.63414156, -1480605483.5647178, 35339237.220249265, 7.003558068757587, -1.3496356024932779, -0.5593039298906985
1469312628.6234806, -246253757.34996834, -1480722030.6606457, 35290843.596964665, 7.004394393662444, -1.3446131642463914, -0.5594237191469683
1469399144.089454, -245647732.80069843, -1480838143.2270837, 35242439.61730524, 7.005228639378069, -1.3395904738879578, -0.55954334084025
1469485659.5554273, -245041636.16620588, -1480953821.2422047, 35194025.295766965, 7.0060608060857685, -1.3345675310461427, -0.5596627949891819
1469572175.0214012, -244435467.62634936, -1481069064.6841486, 35145600.64684423, 7.006890893965151, -1.3295443353488439, -0.559782081612266
1469658690.488375, -243829227.36097187, -1481183873.531023, 35097165.68502981, 7.0077189031941245, -1.3245208864236906, -0.5599012007278679
1469745205.954349, -243222915.54990125, -1481298247.7609043, 35048720.424814895, 7.008544833948895, -1.3194971838980452, -0.5600201523542168
1469831721.4203234, -242616532.37295005, -1481412187.3518355, 35000264.88068912, 7.009368686403977, -1.3144732273990027, -0.5601389365094056
1469918236.886298, -242010078.0099159, -1481525692.281828, 34951799.06714055, 7.010190460732178, -1.3094490165533916, -0.5602575532113915
1470004752.3532724, -241403552.6405815, -1481638762.5288608, 34903322.998655714, 7.011010157104615, -1.3044245509877748, -0.5603760024779949
